,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
1179,other,Reagan Girard,942,345838,947,4313582,0,0
289,other,Jenny Trevino,2716,345838,2758,4313582,0,0
287,other,Hilario Carlton,1639,345838,6233,4313582,0,0
776,other,Katharyn Macdonald,1038,345838,1040,4313582,0,0
789,other,Alec Bailey,775,345838,775,4313582,0,0
904,other,Dann Rivers,3479,345838,15202,4313582,0,0
930,other,Mauricio Mcgee,3591,345838,3621,4313582,0,0
247,other,Lavelle Barksdale,2735,345838,2751,4313582,0,0
954,other,Shin Hayden,1855,345838,1877,4313582,0,0
1096,other,Shayla Bowie,2862,345838,12453,4313582,0,0
1099,other,Twanda Story,3604,345838,3635,4313582,0,0
711,other,Ginette Rowley,14657,345838,34908,4313582,0,0
1187,other,Argelia Sorensen,870,345838,870,4313582,0,0
389,other,Tomi Slade,2802,345838,2827,4313582,0,0
1357,other,Julie Laws,1775,345838,7842,4313582,0,0
1405,other,Mahalia Horn,759,345838,759,4313582,0,0
1724,other,Jeannette Youngblood,2490,345838,2493,4313582,0,0
1421,other,Concha Mckinley,3422,345838,3424,4313582,0,0
1698,other,Lashaun Longoria,3340,345838,3369,4313582,0,0
1665,other,Codi Mcghee,3344,345838,3384,4313582,0,0
1446,other,Angella Rosenthal,2413,345838,2795,4313582,0,0
1623,other,Lakeesha Newcomb,3218,345838,3239,4313582,0,0
1618,other,Mabelle Leary,2587,345838,2612,4313582,0,0
1293,other,Erline Delaney,2660,345838,2678,4313582,0,0
2057,other,Carina Walls,144,345838,144,4313582,0,0
1559,other,Cris Darnell,3141,345838,3153,4313582,0,0
511,other,Hoa Delaney,2557,345838,2562,4313582,0,0
2200,other,Yee Hahn,1869,345838,7613,4313582,0,0
2242,other,Jarrett Holbrook,793,345838,793,4313582,0,0
549,other,Robt Greenberg,3272,345838,3284,4313582,0,0
2087,other,Cyrus Ramey,20075,345838,128650,4313582,0,0
453,other,Blake Huber,3045,345838,3060,4313582,0,0
574,other,Viviana Hightower,448,345838,452,4313582,0,0
346,other,Tamisha Galloway,777,345838,781,4313582,0,0
34,other,Tonita Faulkner,778,345838,780,4313582,0,0
2299,other,Delia Shockley,3363,345838,19187,4313582,0,0
2302,other,Cliff Creech,4383,345838,25267,4313582,0,0
308,other,Haley Fitzgerald,1778,345838,6936,4313582,0,0
507,other,Jesica Pendleton,1166,345838,4182,4313582,4.5944994e-316,1.5491709493e-314
763,other,Ashton Hardin,6355,345838,49527,4313582,7.65494564429454E-297,2.51656338056183E-295
1732,other,Jenee Ellsworth,4451,345838,31528,4313582,3.28449838563419E-292,1.05344277490462E-290
1426,other,Alethia Milton,4125,345838,28732,4313582,9.64748417243632E-286,3.02058135398899E-284
500,other,Cecily Brantley,1689,345838,8618,4313582,2.43853051690162E-254,7.45736658075728E-253
1530,other,Duncan Zepeda,1102,345838,4937,4313582,7.78308897268978E-212,2.32608227251979E-210
1785,other,Genia Mosher,1755,345838,10148,4313582,6.79872572551413E-202,1.98673873978913E-200
1033,other,Maira Stamper,440,345838,1039,4313582,8.70679603852846E-200,2.48900799797063E-198
1133,other,Alica Monroe,1064,345838,5157,4313582,9.29746427935331E-178,2.6013118143297E-176
548,other,Jules Vinson,528,345838,1660,4313582,4.9587222297795E-172,1.35848327753334E-170
1606,other,Delorse Leblanc,818,345838,3520,4313582,6.72612254848804E-169,1.80507166352281E-167
340,other,Yung Bean,1395,345838,7972,4313582,2.42889817178804E-165,6.38800219180255E-164
639,other,Danna Kenny,1288,345838,7206,4313582,2.59723160725699E-160,6.69678345792733E-159
1544,other,Corinne Beam,536,345838,1823,4313582,1.08352385415386E-157,2.74006513117755E-156
681,other,Amalia Paris,170,345838,235,4313582,6.23740064596886E-132,1.54758148102812E-130
1291,other,Jessi Sorenson,759,345838,3656,4313582,5.73374069305493E-129,1.39627203914208E-127
1105,other,Diann Overstreet,194,345838,325,4313582,1.66783841150709E-125,3.98765002023968E-124
1473,other,Sharla Foley,258,345838,595,4313582,2.70803444431522E-121,6.35904516834735E-120
2071,other,Morris Stovall,2012,345838,14807,4313582,5.79824776620359E-117,1.33766593202767E-115
1004,other,Leanora Mullins,483,345838,1892,4313582,1.15120235679195E-116,2.61005361927829E-115
2141,other,Eleonore Daugherty,567,345838,2499,4313582,2.81310813047826E-113,6.269893545049E-112
1757,other,Kaila Vann,301,345838,911,4313582,5.4759254625621E-104,1.20014033054486E-102
242,other,Torie Shelton,576,345838,2757,4313582,1.3013571711267E-99,2.80538472136329E-98
324,other,Rolf Diggs,1278,345838,8716,4313582,1.06821597146712E-95,2.26565161690204E-94
1453,other,Wilma Pruitt,538,345838,2590,4313582,3.15113975676064E-92,6.57737901609562E-91
909,other,Dolly Bragg,2371,345838,19572,4313582,1.15122869236537E-87,2.36541520384447E-86
3,other,Donnette Sewell,1060,345838,7010,4313582,3.47740044106666E-87,7.03504858461948E-86
2286,other,Lindsay Bentley,1125,345838,7708,4313582,2.38424957911512E-83,4.75043666141877E-82
941,other,Clifford Richard,745,345838,4600,4313582,2.59973180821505E-74,5.10245869821313E-73
441,other,Maira Gay,967,345838,6558,4313582,3.6235730854795E-74,7.00735089324345E-73
858,other,Daniella Pickett,418,345838,2030,4313582,4.67876625694197E-71,8.91677917083868E-70
1083,other,Edward Carmona,580,345838,3347,4313582,1.41985743271471E-68,2.66730360574263E-67
666,other,Gwendolyn Garland,146,345838,348,4313582,1.62391700457021E-67,3.00767726902793E-66
23,other,Korey Battle,450,345838,2338,4313582,4.40852095611291E-67,8.05167369067844E-66
2209,other,Shera Lacey,263,345838,1024,4313582,2.90832618365754E-65,5.23897113905434E-64
636,other,Maragaret Cuellar,366,345838,1774,4313582,9.68235357573102E-63,1.72058039893058E-61
2070,other,Shelia Mixon,156,345838,429,4313582,1.22588252060775E-61,2.14938068613226E-60
478,other,Oliver Archer,135,345838,327,4313582,1.35980799290046E-61,2.35282567192645E-60
1833,other,Lynsey Hinson,113,345838,232,4313582,2.2617437130938E-61,3.86258828924461E-60
220,other,Madalyn Ross,172,345838,522,4313582,2.33276620613754E-60,3.93280456547547E-59
1333,other,Felipa Wheeler,348,345838,1680,4313582,3.28018490894221E-60,5.46005462691013E-59
2000,other,Olive Watt,111,345838,236,4313582,2.60136711238248E-58,4.27599719097871E-57
381,other,Tanesha Paige,565,345838,3514,4313582,6.96394691512584E-56,1.13056669054204E-54
657,other,Jackson Koenig,342,345838,1720,4313582,6.85749948841873E-55,1.09970875942325E-53
964,other,Barney Woodruff,399,345838,2204,4313582,1.0648180024277E-52,1.68703093155714E-51
2251,other,Kiyoko Mckinnon,269,345838,1229,4313582,7.73956739289674E-52,1.21161084781657E-50
7,other,Sharron Camp,971,345838,7487,4313582,9.2123503266513E-49,1.425204785829E-47
1320,other,Rocio Escobedo,2202,345838,20109,4313582,9.42129798710754E-49,1.4405821922147E-47
920,other,Angelita Roe,718,345838,5129,4313582,1.61837350498412E-47,2.44616225178635E-46
538,other,Cheryle Hinds,274,345838,1331,4313582,2.21720082115655E-47,3.31320349979644E-46
190,other,Kaila Parrott,677,345838,4767,4313582,5.33578528034622E-47,7.88377263332053E-46
2128,other,Woodrow Mcelroy,441,345838,2684,4313582,1.56982291726913E-46,2.29368570689879E-45
1708,other,Jackson Swann,238,345838,1112,4313582,2.08536374504029E-44,3.01346519200878E-43
2138,other,Lucile Cardwell,735,345838,5403,4313582,2.97051960192057E-44,4.24590573535386E-43
547,other,Aldo Fagan,444,345838,2785,4313582,1.84024871292814E-43,2.60207210483925E-42
958,other,Suanne Wang,220,345838,1007,4313582,1.07360956793883E-42,1.50191125727613E-41
1389,other,Kimiko Burnette,242,345838,1174,4313582,3.19487922109613E-42,4.42238544814885E-41
1132,other,Ladonna Gifford,423,345838,2650,4313582,1.21669052412802E-41,1.66661254086286E-40
778,other,Nelson Peters,523,345838,3572,4313582,2.65224259627484E-40,3.59556599391898E-39
87,other,Akiko Hamilton,385,345838,2372,4313582,1.03699139890348E-39,1.39147315261029E-38
1140,other,Fumiko Landrum,172,345838,714,4313582,1.35262660335446E-39,1.79667069031426E-38
914,other,Colene Echols,196,345838,887,4313582,4.9906574079428E-39,6.56271449144478E-38
369,other,Lanelle Mcdonald,880,345838,7038,4313582,1.45422705498161E-38,1.89337482901071E-37
153,other,Tona Pool,106,345838,319,4313582,1.48101423218123E-38,1.90934677972385E-37
1792,other,Kelvin Swanson,251,345838,1316,4313582,8.9246771968014E-38,1.13941267124212E-36
872,other,Alexander Ly,604,345838,4430,4313582,5.0228323037886E-37,6.35098507642501E-36
1752,other,Stanton Dooley,202,345838,959,4313582,5.21128338321698E-37,6.52651204660031E-36
112,other,Coralee Mcrae,256,345838,1371,4313582,6.77351753055951E-37,8.40299580442052E-36
1370,other,Freeman Burkhart,366,345838,2280,4313582,7.62668693186062E-37,9.37298440691282E-36
1901,other,Jene Cote,112,345838,367,4313582,1.22069085850322E-36,1.48630414715901E-35
1859,other,Mandy Yang,711,345838,5506,4313582,1.06054059369341E-35,1.27945952358425E-34
78,other,Lyndia Ragsdale,233,345838,1230,4313582,9.2112053159103E-35,1.101157726402E-33
606,other,Riva Crowley,157,345838,678,4313582,3.3525917546984E-34,3.97176410579135E-33
232,other,Lyndia Serrano,597,345838,4475,4313582,4.97012493327745E-34,5.83545918505343E-33
1329,other,Kyoko Roth,174,345838,803,4313582,8.60651523071409E-34,1.00155464853E-32
97,other,Cecilia Smiley,203,345838,1045,4313582,4.29155889276527E-32,4.95035082805819E-31
477,other,Randall Dubose,493,345838,3592,4313582,2.80468723858461E-31,3.20709888585979E-30
268,other,Dinah Randle,189,345838,961,4313582,9.69717101937549E-31,1.09929136986886E-29
1465,other,Tiana Luther,371,345838,2503,4313582,3.02042728890253E-30,3.39475374778361E-29
1607,other,Jonathan Landrum,52,345838,106,4313582,6.6842003069554E-30,7.44891813868335E-29
766,other,Dulce Rivera,218,345838,1217,4313582,3.56394468330375E-29,3.93830862062558E-28
354,other,Zada Mcfarland,106,345838,405,4313582,1.74739284572043E-28,1.91485132676864E-27
91,other,Breana Crowell,182,345838,988,4313582,3.63967790766015E-26,3.95551772609346E-25
407,other,Shellie Blount,498,345838,3859,4313582,1.43246164081056E-25,1.54400578497204E-24
119,other,Clarence Boswell,60,345838,168,4313582,8.70608589754954E-25,9.30772597990053E-24
1206,other,Lauretta Sweet,228,345838,1398,4313582,1.09752902831823E-24,1.16391183245038E-23
781,other,Lewis Carrasco,61,345838,179,4313582,6.75308206374962E-24,7.1042423310646E-23
2206,other,Colin Kerns,143,345838,730,4313582,1.25223281250731E-23,1.30689376860882E-22
2029,other,Alla Richey,150,345838,792,4313582,3.65652720754841E-23,3.78608919521745E-22
1555,other,Kia Sampson,475,345838,3812,4313582,1.78347541706954E-21,1.83224232300504E-20
14,other,Janetta Pettit,403,345838,3111,4313582,2.27898779990463E-21,2.32315423013534E-20
808,other,Breanne Blackwell,224,345838,1453,4313582,3.660896378198E-21,3.70313749025413E-20
1600,other,Twyla Diamond,436,345838,3474,4313582,1.98269206521101E-20,1.99025959217746E-19
151,other,Jacqui Petty,41,345838,104,4313582,1.3920535564902E-19,1.38678062635197E-18
1266,other,Vergie Seymour,118,345838,611,4313582,2.26335407570941E-19,2.23782752598336E-18
1802,other,Hector Mann,80,345838,336,4313582,2.55375605564563E-19,2.50611135311493E-18
906,other,Carly Bouchard,55,345838,180,4313582,3.07775619897267E-19,2.99796251974005E-18
1771,other,Vicente Corbett,123,345838,659,4313582,7.44282021957393E-19,7.19655043289685E-18
1535,other,Jasper Varner,115,345838,598,4313582,8.69876462620051E-19,8.34954414850633E-18
1394,other,Cyrus Etheridge,118,345838,625,4313582,1.42192657765594E-18,1.35495177508519E-17
58,other,Somer Crum,138,345838,791,4313582,3.00360311278417E-18,2.84153819662675E-17
240,other,Deeanna Lyon,59,345838,219,4313582,1.61400566046223E-17,1.51601245964845E-16
1507,other,Rocco Blevins,57,345838,210,4313582,3.64288204276201E-17,3.39743963562557E-16
213,other,Lakeesha Fletcher,319,345838,2486,4313582,9.10624760913762E-17,8.43289831409575E-16
1073,other,Marianela Browning,107,345838,572,4313582,9.50503249166713E-17,8.74064176681278E-16
627,other,Leigha Jarrell,243,345838,1780,4313582,3.43859853896592E-16,3.14010908245846E-15
663,other,Slyvia Dupre,356,345838,2887,4313582,6.05947532259668E-16,5.49531727532044E-15
438,other,Jefferson Ward,115,345838,656,4313582,1.04142002321534E-15,9.37991322279573E-15
277,other,Thalia Mattingly,46,345838,163,4313582,5.4863743587213E-15,4.90787910320987E-14
1048,other,Karla Bentley,41,345838,134,4313582,5.96574374246993E-15,5.30064393334322E-14
1791,other,Reena Hubbard,186,345838,1297,4313582,8.18185925238907E-15,7.22090262878632E-14
1734,other,Lady Swift,111,345838,645,4313582,1.14202817702462E-14,1.00117803519159E-13
1570,other,Thu Hillman,957,345838,9358,4313582,1.42470293966308E-14,1.24071812295163E-13
1840,other,Evalyn Conrad,558,345838,5051,4313582,1.86559295061511E-14,1.61398337503873E-13
2201,other,Shandi Childress,106,345838,609,4313582,1.97452807819995E-14,1.6970617142699E-13
1337,other,Jaymie Morin,61,345838,268,4313582,2.71111627861859E-14,2.31501162752172E-13
674,other,Sibyl Cuellar,160,345838,1080,4313582,3.37792921820282E-14,2.86579156253981E-13
63,other,Fritz Vann,750,345838,7128,4313582,3.41470043762856E-14,2.87841735607792E-13
2052,other,Theron Guillory,238,345838,1817,4313582,6.19365301461027E-14,5.18767752497612E-13
771,other,Denese Ellsworth,75,345838,375,4313582,6.82726181521762E-14,5.68218309304504E-13
617,other,Kristy Gaston,35,345838,109,4313582,8.22554798917947E-14,6.80289031809497E-13
1909,other,Davina Hoover,45,345838,168,4313582,8.60336303216653E-14,7.07088899206187E-13
1929,other,Vernice Castillo,66,345838,311,4313582,9.83814198401398E-14,8.03550106147726E-13
1773,other,Herbert Roy,94,345838,526,4313582,1.00439753854009E-13,8.15298001963098E-13
1495,other,Nga Hickman,123,345838,768,4313582,1.05457494953207E-13,8.50776723088755E-13
1354,other,Josephina Gentry,293,345838,2370,4313582,1.35239061783981E-13,1.08438637954839E-12
1288,other,Jc Barnard,275,345838,2210,4313582,3.42901122955243E-13,2.73281804052209E-12
2172,other,Marion Flint,161,345838,1120,4313582,3.57276876449127E-13,2.8302354971723E-12
423,other,Ellamae Chambers,43,345838,163,4313582,5.0313522701459E-13,3.96181331451608E-12
2102,other,Jeremiah Wyatt,265,345838,2141,4313582,1.5612711706386E-12,1.22152330900636E-11
716,other,Rosie Parrott,123,345838,798,4313582,1.56986645796254E-12,1.22152330900636E-11
1456,other,Rich Johnston,37,345838,131,4313582,1.67415846686086E-12,1.29501081407178E-11
1944,other,Phebe Bateman,44,345838,176,4313582,2.18589782837219E-12,1.68096821304645E-11
290,other,Vincenzo Nunn,509,345838,4683,4313582,2.93885529825901E-12,2.24685739372709E-11
1943,other,Maryalice Rudd,61,345838,297,4313582,3.33594547746846E-12,2.53570422131273E-11
1565,other,Sacha Marcum,70,345838,367,4313582,4.41387860317134E-12,3.33577607078754E-11
1845,other,Treena Battle,188,345838,1424,4313582,1.06064940706265E-11,7.97002268735646E-11
302,other,Tawna Ransom,92,345838,553,4313582,1.15480179083491E-11,8.62820656220402E-11
834,other,Waylon Aviles,111,345838,716,4313582,1.17225624496628E-11,8.70913537926925E-11
592,other,Deloris Winters,42,345838,172,4313582,1.47586966922605E-11,1.09031944664733E-10
2023,other,Kymberly Meza,77,345838,432,4313582,1.49193885060665E-11,1.09603328969147E-10
2273,other,Mirna Stewart,282,345838,2362,4313582,1.7006375717935E-11,1.24241022606025E-10
2030,other,Kenda Sample,216,345838,1709,4313582,2.25260669838422E-11,1.6365623250692E-10
1360,other,Lilly Croft,75,345838,420,4313582,2.40914578784026E-11,1.74067401703843E-10
890,other,Tameika Hedrick,31,345838,106,4313582,2.85710067748081E-11,2.05305321906408E-10
412,other,Shela Wilder,384,345838,3430,4313582,3.1263633517535E-11,2.2343303301934E-10
1306,other,Johna Kane,74,345838,418,4313582,4.88428820861391E-11,3.47180486179854E-10
479,other,Ramona Paul,193,345838,1502,4313582,5.90685455516053E-11,4.17608265593339E-10
1311,other,Murray Teague,34,345838,129,4313582,9.68449507657367E-11,6.81021979983657E-10
553,other,Monroe Sadler,31,345838,111,4313582,1.08731967329188E-10,7.6054540977597E-10
1726,other,Loan Brunson,137,345838,984,4313582,1.53240279140225E-10,1.06619559295976E-09
503,other,Shanae Calloway,78,345838,465,4313582,2.31266327131341E-10,1.60060642198797E-09
1593,other,Anika Slade,171,345838,1317,4313582,2.93053304788073E-10,0.000000002
1640,other,Taina Garner,66,345838,376,4313582,6.70961585354774E-10,4.59538794136213E-09
1962,other,Candra Rosario,65,345838,370,4313582,8.5454063186358E-10,5.82238824300833E-09
2307,other,Kasandra Yates,48,345838,240,4313582,1.2488892127889E-09,8.46540883926497E-09
1454,other,Scotty Valdez,32,345838,129,4313582,1.70301278869758E-09,1.14844195750631E-08
2182,other,Denver Goss,139,345838,1044,4313582,2.24174069913608E-09,0.000000015
2077,other,Vanda Augustine,599,345838,5907,4313582,2.87977331609046E-09,1.92228523383703E-08
877,other,Myrtis Daugherty,75,345838,467,4313582,3.55645649077045E-09,2.3619900431127E-08
1955,other,Charise Fugate,50,345838,263,4313582,3.72200664561259E-09,2.45951695426159E-08
738,other,Kristian Mccoy,42,345838,205,4313582,5.27453627474087E-09,3.46800760064212E-08
396,other,Kenyatta Hoff,513,345838,4994,4313582,6.82733719570153E-09,4.46664100116792E-08
1562,other,Clotilde Mccann,510,345838,4967,4313582,0.000000008,5.17808473874441E-08
1503,other,Usha Moya,63,345838,377,4313582,1.11477964438166E-08,7.22135582444279E-08
1055,other,Brynn Freeman,112,345838,815,4313582,0.000000012,7.70981166554676E-08
1046,other,Lizette Wakefield,32,345838,139,4313582,1.27697468603737E-08,8.191325425069E-08
1742,other,Shanita Koenig,88,345838,597,4313582,1.42110403966906E-08,9.07161073866414E-08
246,other,Lurline Leon,72,345838,460,4313582,2.06828617959018E-08,1.31391126867685E-07
1081,other,Leta Girard,516,345838,5073,4313582,2.17159503637098E-08,1.37290743885954E-07
1764,other,Marylou Mackey,26,345838,102,4313582,2.24707298713913E-08,1.41382821918084E-07
918,other,Ahmad Hess,254,345838,2258,4313582,3.26771585360263E-08,2.0462125464226E-07
1280,other,Leia Mcbride,175,345838,1456,4313582,5.07495467884723E-08,3.16282720506356E-07
1412,other,Burma Nance,33,345838,154,4313582,5.33865793920624E-08,3.31147886323406E-07
843,other,Catalina Funk,34,345838,162,4313582,6.09401305066526E-08,3.76226627306329E-07
1615,other,Lovie Pope,101,345838,744,4313582,1.016569928881E-07,6.24667970317062E-07
1506,other,Margarito Laughlin,30,345838,138,4313582,1.33198950380982E-07,8.1468195233019E-07
2253,other,Estell Braun,48,345838,277,4313582,1.49062963148782E-07,9.07489798799296E-07
473,other,Loura Robbins,58,345838,362,4313582,1.72145144168013E-07,1.04318370774625E-06
243,other,Syreeta Seals,101,345838,765,4313582,3.84769558134184E-07,0.000002321
2190,other,Delilah Mccain,53,345838,332,4313582,5.90428172782746E-07,3.54526505575028E-06
0,other,Porsche Mclean,31,345838,160,4313582,1.33547522105733E-06,7.98249961677451E-06
300,other,Letisha Darling,45,345838,274,4313582,1.58376085134172E-06,9.42373538241792E-06
856,other,Petronila Rice,230,345838,2116,4313582,1.64848737124175E-06,9.7646887080311E-06
1254,other,Sumiko Main,43,345838,261,4313582,2.34710195964144E-06,1.38405339772578E-05
1151,other,Byron Ng,87,345838,663,4313582,2.72491240656696E-06,1.59966956010516E-05
2271,other,Pearly Covington,37,345838,213,4313582,0.000002793,1.63237946163476E-05
1171,other,Camelia Friedman,23,345838,107,4313582,3.38175637662527E-06,0.000019677
750,other,Jimmie Trejo,125,345838,1043,4313582,3.5951006948177E-06,2.0826244113151E-05
66,other,Carina Sweet,45,345838,286,4313582,5.17565531752468E-06,2.98508190462498E-05
939,other,Clark Akins,85,345838,656,4313582,5.67636301595921E-06,3.25957090217745E-05
1391,other,Buster Knox,129,345838,1101,4313582,7.90037545891692E-06,4.51695379498946E-05
2038,other,Jenny Munson,63,345838,453,4313582,8.09263339142729E-06,4.60684541546618E-05
2300,other,Chanda Hearn,104,345838,850,4313582,8.47659409589181E-06,4.80462122245592E-05
1157,other,Len Cote,31,345838,175,4313582,9.64621659801686E-06,5.44410936755029E-05
1629,other,Rivka Tipton,85,345838,668,4313582,1.13434278402292E-05,6.37461863671002E-05
817,other,Herschel Singleton,98,345838,799,4313582,1.32030988083608E-05,7.3881169927636E-05
349,other,Shela Howe,38,345838,237,4313582,1.50321423873033E-05,8.37596069462025E-05
1209,other,Garret Joseph,312,345838,3086,4313582,1.53006881182556E-05,8.48962231034011E-05
200,other,Cassy Bautista,63,345838,464,4313582,0.000017337,9.57908361561517E-05
850,other,Estell Wu,47,345838,318,4313582,1.85909275821031E-05,0.000102289
518,other,Rachal Marks,31,345838,181,4313582,1.95886112254576E-05,0.0001073293
1684,other,Dawne Steen,105,345838,883,4313582,2.56291678885293E-05,0.0001398438
2208,other,David Hoyt,141,345838,1259,4313582,3.13189043862035E-05,0.0001701833
261,other,Lawerence Carrasco,64,345838,483,4313582,0.000032364,0.0001751387
1134,other,Kathrin Nicholas,277,345838,2730,4313582,3.29096593493838E-05,0.0001773615
509,other,Aide Battle,30,345838,180,4313582,4.40168698097876E-05,0.0002362538
1862,other,Hyon Wilkes,28,345838,164,4313582,4.64992042805802E-05,0.0002485628
2278,other,Pasty Short,101,345838,861,4313582,5.98482304743864E-05,0.0003186252
1264,other,Simona Tackett,25,345838,142,4313582,6.11855220536068E-05,0.0003244313
1318,other,Zada Quinn,45,345838,316,4313582,6.71418110064023E-05,0.0003545843
360,other,Rosio Swift,44,345838,308,4313582,7.31968747621696E-05,0.0003850156
376,other,January Maloney,135,345838,1220,4313582,7.63832639666634E-05,0.0004001753
2108,other,Herma Blankenship,37,345838,252,4313582,0.0001310308,0.0006837521
849,other,Werner Zuniga,249,345838,2479,4313582,0.0001403624,0.0007295516
2167,other,Aisha Baron,34,345838,227,4313582,0.0001515904,0.0007848087
195,other,Jim Nielsen,182,345838,1746,4313582,0.0001558119,0.0008035006
1966,other,Brice Byrne,49,345838,366,4313582,0.0001679452,0.0008626874
2294,other,Dominga Seaman,68,345838,552,4313582,0.0001848381,0.0009457667
1657,other,Noriko Pitts,26,345838,160,4313582,0.0001861731,0.0009489057
1959,other,Flo Nobles,32,345838,212,4313582,0.0001916667,0.0009731341
1411,other,Audry Strange,30,345838,196,4313582,0.0002202698,0.0011140567
775,other,Dante Alaniz,241,345838,2412,4313582,0.000236786,0.0011930024
1323,other,Reanna Ponder,28,345838,180,4313582,0.0002505323,0.0012574425
1201,other,Erik Wilcox,25,345838,155,4313582,0.000266858,0.0013342902
24,other,Ned Brunner,47,345838,356,4313582,0.0003025284,0.0015069122
1542,other,Lala Regan,92,345838,807,4313582,0.0003126898,0.0015516496
167,other,Cheri Louis,22,345838,133,4313582,0.000373794,0.0018478916
1719,other,Marketta Ashby,44,345838,331,4313582,0.0003805356,0.0018741735
2044,other,Bernita Burch,27,345838,179,4313582,0.0005158695,0.0025312252
1020,other,Jonie Coburn,18,345838,104,4313582,0.0005790968,0.0028309007
2147,other,Leland Nunez,19,345838,114,4313582,0.0007213621,0.0035133008
1199,other,Jennie France,36,345838,267,4313582,0.0008303816,0.0040293427
353,other,Jazmine Fowler,33,345838,240,4313582,0.0008926849,0.0043157375
1720,other,Elliot Parish,20,345838,125,4313582,0.0009654592,0.0046504718
1637,other,Alexander Fulton,72,345838,628,4313582,0.0010024003,0.0048107897
1036,other,Dong Duvall,28,345838,196,4313582,0.0010325633,0.0049375302
73,other,Kayla Hensley,43,345838,341,4313582,0.0012890345,0.0061415957
2008,other,Caprice Petersen,29,345838,209,4313582,0.0013979385,0.0066364229
2096,other,Gil Boyle,101,345838,945,4313582,0.0015422738,0.0072952878
953,other,Jesus Williams,106,345838,999,4313582,0.0015564665,0.0073360338
1932,other,Silva Doty,21,345838,139,4313582,0.0016542323,0.0077689839
1028,other,Charmain Chan,499,345838,5494,4313582,0.0019609758,0.0091768087
2303,other,Shasta Anderson,32,345838,243,4313582,0.0021297618,0.0099313363
1415,other,Natisha Edmondson,28,345838,209,4313582,0.0027681215,0.0128624725
1458,other,Holley Oconnor,42,345838,345,4313582,0.0028005146,0.0129671716
885,other,Latesha Benson,20,345838,137,4313582,0.0030871844,0.0142443772
1677,other,Aretha Payton,92,345838,875,4313582,0.0036855397,0.0169457505
260,other,Rufina Locke,30,345838,233,4313582,0.0038719946,0.0177410207
523,other,Wade Bernal,32,345838,254,4313582,0.0042890657,0.0195837549
770,other,Darla Broussard,18,345838,123,4313582,0.0043344149,0.0197223375
999,other,Nannie Hutchinson,21,345838,151,4313582,0.0046858902,0.0212480884
1741,other,Chris Douglas,19,345838,133,4313582,0.0047557335,0.021490686
626,other,Scarlet Chen,29,345838,229,4313582,0.0055326131,0.0249157064
199,other,Madalyn Pendleton,102,345838,999,4313582,0.0057572059,0.0258386544
1979,other,My Hunter,20,345838,145,4313582,0.0060336045,0.026895559
1165,other,Augustine Aguirre,408,345838,4515,4313582,0.0060259721,0.026895559
522,other,Paulita Hollingsworth,55,345838,495,4313582,0.0061617849,0.0273741457
1114,other,Paz Dorsey,81,345838,776,4313582,0.0069382632,0.0307199194
2297,other,Saundra Gerber,39,345838,333,4313582,0.0071067037,0.0313601185
1194,other,Astrid Nielson,55,345838,499,4313582,0.0072252504,0.031776603
767,other,Georgia Dodd,21,345838,157,4313582,0.0074219759,0.0325329942
299,other,Palmer Crosby,38,345838,324,4313582,0.007519651,0.0328516313
1647,other,Dayna Poe,15,345838,104,4313582,0.0087011176,0.0377622759
2012,other,Denver Corley,15,345838,104,4313582,0.0087011176,0.0377622759
1155,other,Emelda Layton,28,345838,227,4313582,0.0088382173,0.0382311045
2288,other,Maxwell Marshall,15,345838,105,4313582,0.0095194406,0.0410428341
780,other,Lauralee Andrade,25,345838,199,4313582,0.0095864353,0.0411966094
1796,other,Hwa Felton,41,345838,361,4313582,0.0101018415,0.0432701028
1486,other,Joanne Daniel,27,345838,220,4313582,0.0104379515,0.0445646305
583,other,Ima Mejia,73,345838,704,4313582,0.0110346753,0.0469598639
1712,other,Lynne Dudley,38,345838,336,4313582,0.0132159071,0.0560610254
1964,other,Sidney Winter,66,345838,635,4313582,0.0137818257,0.0582736358
1707,other,Karol Elam,49,345838,453,4313582,0.0141246505,0.0595317802
979,other,Richard Tidwell,28,345838,237,4313582,0.0154130437,0.0647544808
1750,other,Carrol Frazier,56,345838,531,4313582,0.0158050534,0.066189953
1350,other,Hong Reid,57,345838,544,4313582,0.0170277471,0.0710840869
1457,other,Ward Adamson,24,345838,200,4313582,0.0182266846,0.075848387
1659,other,Loretta Lujan,17,345838,132,4313582,0.018634617,0.0773013293
961,other,Melodie Dunlap,33,345838,293,4313582,0.0195834721,0.0809819681
2166,other,Mertie Reese,45,345838,420,4313582,0.0201999502,0.0832693871
1975,other,Ethel Thurman,114,345838,1189,4313582,0.0225131603,0.0925150179
254,other,Sonny Urban,89,345838,911,4313582,0.024881907,0.1019305535
1772,other,Vicki Dunbar,91,345838,934,4313582,0.0251861023,0.1028562874
1050,other,Tesha Leslie,14,345838,108,4313582,0.0257564347,0.1048597883
2095,other,Margherita Isaac,17,345838,138,4313582,0.0278827627,0.1131661512
1040,other,Kandy Stark,57,345838,560,4313582,0.0282669026,0.1140214017
32,other,Yesenia Pope,855,345838,10020,4313582,0.0282284448,0.1140214017
1877,other,Eulalia Batts,16,345838,129,4313582,0.0292553899,0.1176478218
579,other,Deana Chung,322,345838,3636,4313582,0.030589682,0.1226385119
